cid,city,prov,DeltaPolicy_std,DeltaA_std,DeltaT_std,DeltaN_std,DeltaO_std,Note
110000,北京市,北京市,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
120000,天津市,天津市,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130100,石家庄市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130200,唐山市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130300,秦皇岛市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130400,邯郸市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130500,邢台市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130600,保定市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130700,张家口市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130800,承德市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
130900,沧州市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
131000,廊坊市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
131100,衡水市,河北省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140100,太原市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140200,大同市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140300,阳泉市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140400,长治市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140500,晋城市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140600,朔州市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140700,晋中市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140800,运城市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
140900,忻州市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
141000,临汾市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
141100,吕梁市,山西省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150100,呼和浩特市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150200,包头市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150300,乌海市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150400,赤峰市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150500,通辽市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150600,鄂尔多斯市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150700,呼伦贝尔市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150800,巴彦淖尔市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
150900,乌兰察布市,内蒙古自治区,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210100,沈阳市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210200,大连市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210300,鞍山市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210400,抚顺市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210500,本溪市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210600,丹东市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210700,锦州市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210800,营口市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
210900,阜新市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
211000,辽阳市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
211100,盘锦市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
211200,铁岭市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
211300,朝阳市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
211400,葫芦岛市,辽宁省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220100,长春市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220200,吉林市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220300,四平市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220400,辽源市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220500,通化市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220600,白山市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220700,松原市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
220800,白城市,吉林省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230100,哈尔滨市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230200,齐齐哈尔市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230300,鸡西市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230400,鹤岗市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230500,双鸭山市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230600,大庆市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230700,伊春市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230800,佳木斯市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
230900,七台河市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
231000,牡丹江市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
231100,黑河市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
231200,绥化市,黑龙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
310000,上海市,上海市,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320100,南京市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320200,无锡市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320300,徐州市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320400,常州市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320500,苏州市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320600,南通市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320700,连云港市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320800,淮安市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
320900,盐城市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
321000,扬州市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
321100,镇江市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
321200,泰州市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
321300,宿迁市,江苏省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330100,杭州市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330200,宁波市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330300,温州市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330400,嘉兴市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330500,湖州市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330600,绍兴市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330700,金华市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330800,衢州市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
330900,舟山市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
331000,台州市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
331100,丽水市,浙江省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340100,合肥市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340200,芜湖市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340300,蚌埠市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340400,淮南市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340500,马鞍山市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340600,淮北市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340700,铜陵市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
340800,安庆市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341000,黄山市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
341100,滁州市,安徽省,,,,,,"fill standardized post‑2019 change (e.g., 2020–2022 vs 2016–2018)"
